# Time-averaged data for fix rdf_output
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
100 100
93 6.475 0.941642 34.4727
94 6.545 0.878443 35.3789
95 6.615 1.0223 36.4562
96 6.685 0.966163 37.4961
97 6.755 0.999562 38.5945
98 6.825 0.993789 39.7094
99 6.895 0.915713 40.7578
100 6.965 0.890044 41.7977
700 100
1 0.035 0 0
2 0.105 0 0
3 0.175 0 0
4 0.245 0 0
5 0.315 0 0
6 0.385 0 0
7 0.455 0 0
8 0.525 0 0
9 0.595 0 0
10 0.665 0 0
11 0.735 0 0
12 0.805 0 0
13 0.875 0 0
14 0.945 0 0
15 1.015 0 0
16 1.085 0 0
17 1.155 0 0
18 1.225 0 0
19 1.295 0 0
20 1.365 0 0
21 1.435 0 0
22 1.505 0 0
23 1.575 0 0
24 1.645 0 0
25 1.715 0 0
26 1.785 0 0
27 1.855 0 0
28 1.925 0 0
29 1.995 0 0
30 2.065 0 0
31 2.135 0 0
32 2.205 0 0
33 2.275 0 0
34 2.345 0.0176963 0.00234375
35 2.415 0.0111236 0.00390625
36 2.485 0.089299 0.0171875
37 2.555 0.218637 0.0515625
38 2.625 0.395434 0.117188
39 2.695 0.839644 0.264062
40 2.765 1.08619 0.464062
41 2.835 1.47314 0.749219
42 2.905 1.88348 1.13203
43 2.975 2.4153 1.64688
44 3.045 2.77083 2.26562
45 3.115 2.81486 2.92344
46 3.185 2.6797 3.57812
47 3.255 2.34525 4.17656
48 3.325 2.29156 4.78672
49 3.395 2.14738 5.38281
50 3.465 1.74808 5.88828
51 3.535 1.50562 6.34141
52 3.605 1.3279 6.75703
53 3.675 1.04722 7.09766
54 3.745 1.04313 7.45
55 3.815 0.924966 7.77422
56 3.885 0.887637 8.09688
57 3.955 0.831609 8.41016
58 4.025 0.879024 8.75313
59 4.095 0.818278 9.08359
60 4.165 0.761085 9.40156
61 4.235 0.671021 9.69141
62 4.305 0.722892 10.0141
63 4.375 0.738925 10.3547
64 4.445 0.717477 10.6961
65 4.515 0.730412 11.0547
66 4.585 0.700564 11.4094
67 4.655 0.844327 11.85
68 4.725 0.899411 12.3336
69 4.795 0.949531 12.8594
70 4.865 1.03342 13.4484
71 4.935 1.03228 14.0539
72 5.005 1.20563 14.7812
73 5.075 1.11718 15.4742
74 5.145 1.08944 16.1687
75 5.215 1.21545 16.9648
76 5.285 1.22296 17.7875
77 5.355 1.27717 18.6695
78 5.425 1.19262 19.5148
79 5.495 1.21077 20.3953
80 5.565 1.23602 21.3172
81 5.635 1.1534 22.1992
82 5.705 1.24188 23.1727
