################################################################################
# Atomic force comparison (ordered by atom index).
################################################################################
# Col  Name  Description
################################################################################
# 1    conf  Configuration index (starting with 1).
# 2    index Atom index (starting with 1).
# 3    fxRef Reference force in x direction.
# 4    fyRef Reference force in y direction.
# 5    fzRef Reference force in z direction.
# 6    fx    Force in x direction.
# 7    fy    Force in y direction.
# 8    fz    Force in z direction.
###########################################################################################################################################################################
#        1          2                        3                        4                        5                        6                        7                        8
#     conf      index                    fxRef                    fyRef                    fzRef                       fx                       fy                       fz
###########################################################################################################################################################################
         1         13   2.3999999999999999E-06   2.5000000000000002E-06   2.1149999999999999E-05  -2.7568722394278461E-07  -2.7568722273368235E-07  -5.0467279185013869E-07
         1         14   1.2710000000000000E-05  -7.3799999999999996E-06   1.5319999999999999E-05  -2.7568729598758529E-07  -2.7568729378448648E-07  -2.7568729444281403E-07
         1         15  -1.5300000000000000E-06   6.1000000000000000E-06  -1.1999999999999999E-06  -2.7568731994498386E-07  -2.7568731959803916E-07  -1.6589215526722404E-06
         1         16  -1.0100000000000001E-06   8.9199999999999993E-06   1.0499999999999999E-05  -2.7568724738583766E-07  -1.6589210344994040E-06  -5.0467286624202023E-07
         1         17  -2.6500000000000000E-06  -6.9800000000000001E-06   3.3600000000000000E-06  -2.7568731993284079E-07  -1.6589215537090793E-06  -2.7568731991549356E-07
         1         18   7.1700000000000000E-06   1.3410000000000000E-05  -3.7200000000000000E-06  -2.7568734283639484E-07  -1.6589218398838090E-06  -1.6589218386061119E-06
         1         19  -2.4800000000000000E-06  -2.9500000000000001E-06   2.3400000000000000E-06  -1.6589205138655208E-06  -5.0467269019534300E-07  -5.0467269028034445E-07
         1         20   1.3300000000000000E-06   2.9900000000000002E-06  -3.1999999999999999E-06  -1.6589210327377923E-06  -5.0467286527057509E-07  -2.7568724896356867E-07
         1         21   1.4409999999999999E-05  -1.7589999999999999E-05  -1.3940000000000000E-05  -1.6589213198900388E-06  -5.0467294103462290E-07  -1.6589213191963203E-06
         1         22   7.7200000000000006E-06  -6.1600000000000003E-06   7.6000000000000003E-07  -1.6589210337456667E-06  -2.7568724715598680E-07  -5.0467286696886937E-07
         1         23  -1.1250000000000001E-05  -6.3999999999999997E-06  -5.9200000000000001E-06  -1.6589215525771722E-06  -2.7568731929532991E-07  -2.7568731944538349E-07
         1         24  -7.0099999999999998E-06   1.7600000000000001E-06  -1.1540000000000000E-05  -1.6589218391205307E-06  -2.7568734351640645E-07  -1.6589218382806211E-06
         1         25  -9.4599999999999992E-06  -2.1090000000000000E-05  -6.6499999999999999E-06  -1.6589213195769212E-06  -1.6589213204581607E-06  -5.0467294330711066E-07
         1         26   4.0600000000000001E-06  -2.6030000000000000E-05   2.7499999999999999E-06  -1.6589218389730792E-06  -1.6589218397814604E-06  -2.7568734415131524E-07
         1         27   1.6100000000000000E-06  -2.9299999999999999E-06  -6.3400000000000003E-06  -1.6589221246560149E-06  -1.6589221258911380E-06  -1.6589221231193508E-06
         1         28  -7.3400000000000000E-06   1.3270000000000000E-05   1.7300000000000000E-06  -5.0467270008153209E-07   4.5389576170534740E-08   4.5389576645848972E-08
