################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2727548919166260E-01 a      1043     1     7     2     3
  2.7864132933754149E-01 a      1044     1     7     2     4
  8.4229309355326420E-01 a      1045     1     7     2     5
 -4.4996708715994531E-02 a      1046     1     7     2     6
 -3.8708188025022627E-02 a      1047     1     7     2     7
 -1.5815463589625340E-02 a      1048     1     7     2     8
  6.0410359565722604E-01 a      1049     1     7     2     9
 -4.5108394583742056E-01 a      1050     1     7     2    10
 -4.9489419424741797E-02 a      1051     1     7     2    11
  2.1674662337494544E-01 a      1052     1     7     2    12
 -1.9976025047542420E-01 a      1053     1     7     2    13
  1.8843775583640979E-01 a      1054     1     7     2    14
  2.3891710048163922E-01 a      1055     1     7     2    15
  3.9900965748205747E-01 a      1056     1     7     2    16
  5.4457661728109297E-01 a      1057     1     7     2    17
  2.6437067537866865E-01 a      1058     1     7     2    18
  5.6989702520345589E-02 a      1059     1     7     2    19
  2.5703055747318393E-01 a      1060     1     7     2    20
 -3.8065368317415299E-01 a      1061     1     8     2     1
 -3.2611674893103387E-01 a      1062     1     8     2     2
  3.1649121618947706E-01 a      1063     1     8     2     3
  1.1963292677378889E+00 a      1064     1     8     2     4
 -5.6534470173393379E-02 a      1065     1     8     2     5
  6.8868152669210717E-02 a      1066     1     8     2     6
  6.9533852840994781E-01 a      1067     1     8     2     7
 -6.7527112478474105E-01 a      1068     1     8     2     8
  1.6348827386727419E-01 a      1069     1     8     2     9
 -1.5517651705085986E-01 a      1070     1     8     2    10
 -8.9618898493627785E-01 a      1071     1     8     2    11
 -1.2382235668826909E+00 a      1072     1     8     2    12
 -1.7932988746464578E+00 a      1073     1     8     2    13
  1.0822302985904548E+00 a      1074     1     8     2    14
 -2.5328186210596898E-01 a      1075     1     8     2    15
 -1.2675253515535279E+00 a      1076     1     8     2    16
 -6.0106704358519036E-01 a      1077     1     8     2    17
  9.5923646040218372E-02 a      1078     1     8     2    18
 -1.7434868947952642E-01 a      1079     1     8     2    19
 -9.9058171436041162E-02 a      1080     1     8     2    20
  1.1239513948432792E-01 a      1081     1     9     2     1
 -1.7053971424322559E-01 a      1082     1     9     2     2
  1.6627203012732708E-01 a      1083     1     9     2     3
  5.0121651550162472E-01 a      1084     1     9     2     4
  5.4115467307449105E-01 a      1085     1     9     2     5
 -3.1349896916451070E-01 a      1086     1     9     2     6
 -3.4634747496558016E-01 a      1087     1     9     2     7
  2.7297606930652123E-02 a      1088     1     9     2     8
  1.7106493865122860E-01 a      1089     1     9     2     9
 -4.9808828723694570E-01 a      1090     1     9     2    10
 -1.6850683181115225E-01 a      1091     1     9     2    11
 -8.2497567857272996E-02 a      1092     1     9     2    12
 -3.1943188865160366E-01 a      1093     1     9     2    13
 -2.8012680862986333E-01 a      1094     1     9     2    14
  6.0487643000097702E-01 a      1095     1     9     2    15
 -5.6509517158514411E-01 a      1096     1     9     2    16
 -2.3440136912524164E-02 a      1097     1     9     2    17
  4.6020503177443539E-01 a      1098     1     9     2    18
  2.4003700918751594E-01 a      1099     1     9     2    19
  1.2605791926667903E-01 a      1100     1     9     2    20
 -1.0566558001404129E+00 a      1101     1    10     2     1
 -9.2629442416202235E-01 a      1102     1    10     2     2
  6.8151054857288368E-02 a      1103     1    10     2     3
  3.4052411650278582E+00 a      1104     1    10     2     4
  5.3252448661303464E-01 a      1105     1    10     2     5
  7.4140371558498741E-01 a      1106     1    10     2     6
  4.1387018273496334E-01 a      1107     1    10     2     7
 -1.8986104975407265E+00 a      1108     1    10     2     8
  1.0078148578333885E+00 a      1109     1    10     2     9
 -1.0072710237620930E+00 a      1110     1    10     2    10
 -2.1498689619448110E+00 a      1111     1    10     2    11
 -3.4358639323991884E+00 a      1112     1    10     2    12
 -4.8088234681271045E+00 a      1113     1    10     2    13
  2.6009910687288089E+00 a      1114     1    10     2    14
  7.9196193227467099E-02 a      1115     1    10     2    15
 -4.1373877696107648E+00 a      1116     1    10     2    16
 -1.8084442602630886E+00 a      1117     1    10     2    17
  4.4096684544103154E-01 a      1118     1    10     2    18
 -1.1610670645363654E+00 a      1119     1    10     2    19
  2.6049266199683313E-01 a      1120     1    10     2    20
  3.8083299038490470E-01 a      1121     1    11     2     1
 -1.0012229514219655E+00 a      1122     1    11     2     2
  4.8753265647146588E-01 a      1123     1    11     2     3
 -1.9165145072512138E-01 a      1124     1    11     2     4
 -1.2139348430882735E+00 a      1125     1    11     2     5
 -1.0492938406264224E-01 a      1126     1    11     2     6
  6.3579134352415057E-01 a      1127     1    11     2     7
 -5.3356670534856654E-01 a      1128     1    11     2     8
 -2.9050062611410948E-01 a      1129     1    11     2     9
  1.0382169474359007E+00 a      1130     1    11     2    10
 -1.0272704231437102E+00 a      1131     1    11     2    11
 -1.5252305014686276E+00 a      1132     1    11     2    12
 -4.7635259251236761E-01 a      1133     1    11     2    13
  1.1642133735110587E+00 a      1134     1    11     2    14
 -1.3189947226729914E+00 a      1135     1    11     2    15
 -1.5737070322579836E+00 a      1136     1    11     2    16
 -1.3338372706458650E+00 a      1137     1    11     2    17
 -6.1253447311853604E-01 a      1138     1    11     2    18
  3.2137328633084866E-01 a      1139     1    11     2    19
 -1.3501683779116322E+00 a      1140     1    11     2    20
 -2.2574409547174814E+00 a      1141     1    12     2     1
 -6.6684326856574816E-01 a      1142     1    12     2     2
 -5.5222798984105814E-01 a      1143     1    12     2     3
  4.5101209251387537E+00 a      1144     1    12     2     4
  1.6725860550983331E+00 a      1145     1    12     2     5
  7.8825119158091017E-01 a      1146     1    12     2     6
  1.2202263483724189E+00 a      1147     1    12     2     7
 -1.9790188985218646E+00 a      1148     1    12     2     8
  9.7675105093274650E-01 a      1149     1    12     2     9
 -1.7272449460731041E+00 a      1150     1    12     2    10
 -1.9400776439509229E+00 a      1151     1    12     2    11
 -3.6039491079017321E+00 a      1152     1    12     2    12
 -6.1655213804672320E+00 a      1153     1    12     2    13
  3.1668289396514071E+00 a      1154     1    12     2    14
  5.4928402481599314E-01 a      1155     1    12     2    15
 -4.4140651700612530E+00 a      1156     1    12     2    16
 -1.5814663211013047E+00 a      1157     1    12     2    17
  1.4069642019874438E+00 a      1158     1    12     2    18
 -2.0180073417235866E+00 a      1159     1    12     2    19
  7.4211213150677224E-01 a      1160     1    12     2    20
  2.9168573763585330E+00 a      1161     1    13     2     1
  4.5064352010631309E-01 a      1162     1    13     2     2
  3.4006525838559265E-01 a      1163     1    13     2     3
 -5.6928624466731259E+00 a      1164     1    13     2     4
 -2.4686471301977324E+00 a      1165     1    13     2     5
 -1.0579282141031945E+00 a      1166     1    13     2     6
 -1.2079095787705125E+00 a      1167     1    13     2     7
  2.6361777888543374E+00 a      1168     1    13     2     8
 -1.7518356943256568E+00 a      1169     1    13     2     9
  1.7144707595411393E+00 a      1170     1    13     2    10
  2.6110892426981245E+00 a      1171     1    13     2    11
  4.3208431016970277E+00 a      1172     1    13     2    12
  8.4877045881055597E+00 a      1173     1    13     2    13
 -3.8910339106668435E+00 a      1174     1    13     2    14
 -9.3942810918173014E-01 a      1175     1    13     2    15
  6.6843399429079877E+00 a      1176     1    13     2    16
  1.9279029913496359E+00 a      1177     1    13     2    17
 -1.9955356503911854E+00 a      1178     1    13     2    18
  2.7513704479142045E+00 a      1179     1    13     2    19
 -1.6320291291237485E+00 a      1180     1    13     2    20
  1.5008024279456420E+00 a      1181     1    14     2     1
  4.7490765862169371E-01 a      1182     1    14     2     2
  8.5651628482721384E-02 a      1183     1    14     2     3
 -4.8310350152807118E+00 a      1184     1    14     2     4
 -1.1815237494158635E+00 a      1185     1    14     2     5
 -9.5940115496236533E-01 a      1186     1    14     2     6
 -7.0627021494073061E-01 a      1187     1    14     2     7
  2.3345262005839027E+00 a      1188     1    14     2     8
 -2.0741422791936128E+00 a      1189     1    14     2     9
  1.6888598369921155E+00 a      1190     1    14     2    10
  2.3854623936225221E+00 a      1191     1    14     2    11
  3.5507376748732868E+00 a      1192     1    14     2    12
  7.0134573805191565E+00 a      1193     1    14     2    13
 -2.6850678738990603E+00 a      1194     1    14     2    14
 -1.9029430050726670E-01 a      1195     1    14     2    15
  5.8604009353957380E+00 a      1196     1    14     2    16
  2.5222358511554925E+00 a      1197     1    14     2    17
 -1.5925621005068398E+00 a      1198     1    14     2    18
  1.8889330781874043E+00 a      1199     1    14     2    19
 -8.6634203727910630E-01 a      1200     1    14     2    20
 -1.7175757164632248E+00 a      1201     1    15     2     1
 -1.3288447297305752E+00 a      1202     1    15     2     2
 -4.0170631668431087E-02 a      1203     1    15     2     3
  6.6270465036172226E+00 a      1204     1    15     2     4
  1.4371403017240532E+00 a      1205     1    15     2     5
  9.6782215906650748E-01 a      1206     1    15     2     6
  1.1589366682119484E+00 a      1207     1    15     2     7
 -3.5947547050293696E+00 a      1208     1    15     2     8
  2.3431800369357303E+00 a      1209     1    15     2     9
 -1.5639322512268714E+00 a      1210     1    15     2    10
 -5.3160367684145822E+00 a      1211     1    15     2    11
 -7.6256376953541132E+00 a      1212     1    15     2    12
 -8.5844301834234180E+00 a      1213     1    15     2    13
  7.7927778676331130E+00 a      1214     1    15     2    14
  1.0751649431465646E-02 a      1215     1    15     2    15
 -7.2582682846431554E+00 a      1216     1    15     2    16
 -5.0315902239435415E+00 a      1217     1    15     2    17
  2.2898201088592702E+00 a      1218     1    15     2    18
 -1.6363986453159378E+00 a      1219     1    15     2    19
  1.3084831356896296E+00 a      1220     1    15     2    20
 -2.8488771073780690E+00 a      1221     1    16     2     1
 -1.3954087057955003E-01 a      1222     1    16     2     2
 -9.9039965636584970E-01 a      1223     1    16     2     3
  7.5413010898009203E+00 a      1224     1    16     2     4
  2.9142806443107410E+00 a      1225     1    16     2     5
  6.8453777530091720E-01 a      1226     1    16     2     6
  1.7070496263750001E+00 a      1227     1    16     2     7
 -3.0267071754851647E+00 a      1228     1    16     2     8
  2.9302450231640185E+00 a      1229     1    16     2     9
 -2.7439407067990902E+00 a      1230     1    16     2    10
 -3.6624567849446654E+00 a      1231     1    16     2    11
 -6.8653804586094518E+00 a      1232     1    16     2    12
 -1.0781607313763420E+01 a      1233     1    16     2    13
  6.9908307904259086E+00 a      1234     1    16     2    14
  1.5478623009888564E+00 a      1235     1    16     2    15
 -8.3852831257773222E+00 a      1236     1    16     2    16
 -3.6591903595122375E+00 a      1237     1    16     2    17
  2.8661157258075018E+00 a      1238     1    16     2    18
 -3.3227790896093690E+00 a      1239     1    16     2    19
  2.4835281790487471E+00 a      1240     1    16     2    20
  6.8884456931429772E-01 a      1241     1    17     2     1
  8.5505512570783337E-01 a      1242     1    17     2     2
 -1.8359060873887106E-01 a      1243     1    17     2     3
 -9.6471220844902883E-01 a      1244     1    17     2     4
  3.2023153927621445E-01 a      1245     1    17     2     5
 -3.1909833591551767E-01 a      1246     1    17     2     6
 -9.5088789369162541E-01 a      1247     1    17     2     7
  8.3504727593963568E-01 a      1248     1    17     2     8
  3.9592314834029432E-02 a      1249     1    17     2     9
 -1.5804747092835481E-01 a      1250     1    17     2    10
  6.3186866864462898E-01 a      1251     1    17     2    11
  2.0741164699021031E+00 a      1252     1    17     2    12
  2.1182039844411205E+00 a      1253     1    17     2    13
 -2.1089785912552919E+00 a      1254     1    17     2    14
  2.3233055065412431E-01 a      1255     1    17     2    15
  2.2274444419437298E+00 a      1256     1    17     2    16
  8.2375213779337142E-01 a      1257     1    17     2    17
  1.4746969543252381E-02 a      1258     1    17     2    18
  8.4600305442392321E-01 a      1259     1    17     2    19
 -8.5830945015159768E-02 a      1260     1    17     2    20
 -2.7574741082473603E-01 a      1261     1    18     2     1
 -4.4938242559173269E-01 a      1262     1    18     2     2
  2.0996889323796961E-01 a      1263     1    18     2     3
  2.9293693053198280E+00 a      1264     1    18     2     4
  9.0617597239683112E-01 a      1265     1    18     2     5
  6.0257933478587311E-01 a      1266     1    18     2     6
  1.0675312297569826E-01 a      1267     1    18     2     7
 -1.4744394010681798E+00 a      1268     1    18     2     8
  1.2037432697508852E+00 a      1269     1    18     2     9
 -5.7452625256588263E-01 a      1270     1    18     2    10
 -2.9908814121340788E+00 a      1271     1    18     2    11
 -4.1810148363857644E+00 a      1272     1    18     2    12
 -4.2907660664517433E+00 a      1273     1    18     2    13
  5.2110140562257978E+00 a      1274     1    18     2    14
 -3.4997297806395589E-01 a      1275     1    18     2    15
 -3.3431987266746894E+00 a      1276     1    18     2    16
 -2.9858952825533716E+00 a      1277     1    18     2    17
  8.5257348883488004E-01 a      1278     1    18     2    18
 -4.1108185621466364E-01 a      1279     1    18     2    19
  2.6095049957584043E-01 a      1280     1    18     2    20
 -8.2336201509539719E-01 a      1281     1    19     2     1
  1.1297534178915454E-01 a      1282     1    19     2     2
 -2.7322179300522215E-01 a      1283     1    19     2     3
  1.9418310822361542E+00 a      1284     1    19     2     4
  3.1470663121549564E-01 a      1285     1    19     2     5
  7.4940391255132979E-02 a      1286     1    19     2     6
  3.0306120550837751E-01 a      1287     1    19     2     7
 -8.5685912723017699E-01 a      1288     1    19     2     8
  3.3887756681818160E-01 a      1289     1    19     2     9
 -2.8532426990710497E-01 a      1290     1    19     2    10
 -7.1713063946330491E-01 a      1291     1    19     2    11
 -1.0235677092903142E+00 a      1292     1    19     2    12
 -2.5960424243841320E+00 a      1293     1    19     2    13
  1.9245346638013486E-01 a      1294     1    19     2    14
  2.4505378533741218E-01 a      1295     1    19     2    15
 -1.9967778528909452E+00 a      1296     1    19     2    16
 -7.5035418559414679E-01 a      1297     1    19     2    17
  8.1377533143391401E-01 a      1298     1    19     2    18
 -5.7870891878894715E-01 a      1299     1    19     2    19
  3.6542178799531355E-01 a      1300     1    19     2    20
  6.4839697110914085E-01 a      1301     1    20     2     1
 -7.8654747986797446E-03 a      1302     1    20     2     2
 -2.5092252288347316E-01 a      1303     1    20     2     3
 -1.9397996982345276E+00 a      1304     1    20     2     4
 -1.5977294754221763E-01 a      1305     1    20     2     5
 -1.4765699823160808E-01 a      1306     1    20     2     6
 -4.9364869749756335E-01 a      1307     1    20     2     7
  6.2322453202698502E-01 a      1308     1    20     2     8
 -6.9045913896630717E-01 a      1309     1    20     2     9
  3.6335598388879953E-01 a      1310     1    20     2    10
  1.3305271207285860E+00 a      1311     1    20     2    11
  1.7493744342695530E+00 a      1312     1    20     2    12
  2.5749351439002224E+00 a      1313     1    20     2    13
 -2.3169709150863507E+00 a      1314     1    20     2    14
  3.8526168350032786E-01 a      1315     1    20     2    15
  2.1943006233986559E+00 a      1316     1    20     2    16
  1.3326525298421004E+00 a      1317     1    20     2    17
 -5.6604934685741759E-01 a      1318     1    20     2    18
  3.8610549369380037E-01 a      1319     1    20     2    19
 -3.0689491257289386E-01 a      1320     1    20     2    20
 -2.4111051960728207E+00 b      1321     2     1
  2.3170109576378848E+00 b      1322     2     2
 -2.4408953051075861E+00 b      1323     2     3
 -2.1289090084127760E+00 b      1324     2     4
  2.2048986651569806E+00 b      1325     2     5
 -9.5799410014379294E-01 b      1326     2     6
  1.3504886944606737E-02 b      1327     2     7
  2.0015805123525405E+00 b      1328     2     8
 -3.5906360715652597E-01 b      1329     2     9
 -8.3641245070252990E-01 b      1330     2    10
  5.3582726191324204E+00 b      1331     2    11
  6.7336639392005218E+00 b      1332     2    12
  2.8149866500330933E+00 b      1333     2    13
 -7.6015365876587557E+00 b      1334     2    14
  3.0094629861740305E+00 b      1335     2    15
  3.3947857094755780E+00 b      1336     2    16
  5.2331520731620635E+00 b      1337     2    17
  6.1705450166482645E-01 b      1338     2    18
 -1.8066076818847618E+00 b      1339     2    19
  1.6995218767217215E+00 b      1340     2    20
  4.0752632735776517E+00 a      1341     2     1     3     1
  3.5023246384499860E+00 a      1342     2     2     3     1
 -5.7901749452322715E-01 a      1343     2     3     3     1
 -1.6111070287878643E+01 a      1344     2     4     3     1
 -2.7988087942181510E+00 a      1345     2     5     3     1
 -2.8607620208476261E+00 a      1346     2     6     3     1
 -3.1399653388218920E+00 a      1347     2     7     3     1
  8.2046396853967121E+00 a      1348     2     8     3     1
 -5.0164914687358255E+00 a      1349     2     9     3     1
  3.8856816591163761E+00 a      1350     2    10     3     1
  1.1971989499708565E+01 a      1351     2    11     3     1
  2.0325968573537750E+01 a      1352     2    12     3     1
  2.3048505210055033E+01 a      1353     2    13     3     1
 -2.1164742577001537E+01 a      1354     2    14     3     1
  7.6657906266022491E-01 a      1355     2    15     3     1
  1.9620904024926038E+01 a      1356     2    16     3     1
  1.1913700971866927E+01 a      1357     2    17     3     1
 -4.1289951823213880E+00 a      1358     2    18     3     1
  4.8021621853819338E+00 a      1359     2    19     3     1
 -1.9775656386677907E+00 a      1360     2    20     3     1
  3.5943102106674495E+01 b      1361     3     1
