################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.2270094040746374E-01 a       147     0     8     1     7
 -3.4931786684339677E-01 a       148     0     8     1     8
 -2.6065327680001271E-01 a       149     0     8     1     9
  2.3439399678618891E-01 a       150     0     8     1    10
 -3.1020244607344022E-01 a       151     0     8     1    11
 -1.5699454090879411E-01 a       152     0     8     1    12
 -2.2917303443060150E-01 a       153     0     8     1    13
  1.9820373054748081E-01 a       154     0     8     1    14
 -3.3813248599903817E-01 a       155     0     8     1    15
  1.7034334184605149E+00 a       156     0     8     1    16
 -2.2723848998125254E-01 a       157     0     8     1    17
  1.9403314764495172E+00 a       158     0     8     1    18
 -7.4239770566468333E-01 a       159     0     8     1    19
  3.8564152095885806E-01 a       160     0     8     1    20
 -1.1490987584326096E+00 a       161     0     9     1     1
  3.2357445968676796E-01 a       162     0     9     1     2
 -2.9219900413300898E-01 a       163     0     9     1     3
  6.4663585849995020E-01 a       164     0     9     1     4
  1.8759534400632569E+00 a       165     0     9     1     5
 -1.1935105350641173E+00 a       166     0     9     1     6
  1.7386197188190622E-01 a       167     0     9     1     7
 -5.3826119239935510E-01 a       168     0     9     1     8
 -4.4240431734361610E-02 a       169     0     9     1     9
  1.2305877181927208E-03 a       170     0     9     1    10
 -4.8929443676733256E-02 a       171     0     9     1    11
 -3.6098276344900954E-01 a       172     0     9     1    12
 -6.0572801349409441E-02 a       173     0     9     1    13
  1.4013724107771322E-01 a       174     0     9     1    14
 -5.2416587707348572E-01 a       175     0     9     1    15
  1.2158322681543314E+00 a       176     0     9     1    16
  3.0009622177115941E-01 a       177     0     9     1    17
  1.6434838412347539E+00 a       178     0     9     1    18
 -5.0236821475861737E-01 a       179     0     9     1    19
  2.7110370807918271E-01 a       180     0     9     1    20
 -6.0077166477183230E-01 a       181     0    10     1     1
  4.3375867664297590E-01 a       182     0    10     1     2
 -2.6489648133941435E-01 a       183     0    10     1     3
  2.1361893575374674E-01 a       184     0    10     1     4
  1.5263637352482560E+00 a       185     0    10     1     5
 -8.2077490695381650E-01 a       186     0    10     1     6
 -5.1365312642563478E-02 a       187     0    10     1     7
 -6.1295419785703364E-01 a       188     0    10     1     8
 -1.3870990454558624E-01 a       189     0    10     1     9
 -1.9142197221546375E-01 a       190     0    10     1    10
  1.5351418024023417E-01 a       191     0    10     1    11
 -5.2321715796621593E-01 a       192     0    10     1    12
  6.7266577518358128E-01 a       193     0    10     1    13
  2.3752337052850195E-01 a       194     0    10     1    14
 -1.3990279139137860E+00 a       195     0    10     1    15
  5.8084063846661715E-01 a       196     0    10     1    16
  1.6819650338496650E-01 a       197     0    10     1    17
  1.0984963994519032E+00 a       198     0    10     1    18
 -2.6908947283009271E-01 a       199     0    10     1    19
  2.5997648760341158E-01 a       200     0    10     1    20
 -6.5255234015635089E-01 a       201     0    11     1     1
  6.5337480979505635E-01 a       202     0    11     1     2
 -3.7801104038686406E-01 a       203     0    11     1     3
 -1.2616215331219408E-01 a       204     0    11     1     4
  8.8884706659114621E-01 a       205     0    11     1     5
 -6.2438484076990619E-01 a       206     0    11     1     6
 -1.3381019256941321E-01 a       207     0    11     1     7
 -1.6768707841287916E-01 a       208     0    11     1     8
 -2.4457222370999315E-01 a       209     0    11     1     9
 -3.2579285198199281E-01 a       210     0    11     1    10
  1.4964778348641233E-01 a       211     0    11     1    11
 -3.2582740160108814E-01 a       212     0    11     1    12
  7.8837477134169198E-01 a       213     0    11     1    13
  3.4237912594033837E-01 a       214     0    11     1    14
 -1.9716747004488406E+00 a       215     0    11     1    15
 -4.4996047287262878E-02 a       216     0    11     1    16
  5.0301441924738299E-01 a       217     0    11     1    17
  7.5877896432134750E-01 a       218     0    11     1    18
 -3.0586596446733272E-01 a       219     0    11     1    19
  3.7458591105313571E-01 a       220     0    11     1    20
 -1.2067636395074656E-01 a       221     0    12     1     1
  2.3903088948219581E-01 a       222     0    12     1     2
 -8.8313592473929781E-01 a       223     0    12     1     3
